Geography,Domain,Sex,NUM_HSC,DENOM_HSC,CR_HSC,NUM_MOOD,DENOM_MOOD,CR_MOOD,NUM_ANX,DENOM_ANX,CR_ANX,NUM_PERC,DENOM_PERC,CR_PERC,NUM_ST,DENOM_ST,CR_ST,NUM_BELONG,DENOM_BELONG,CR_BELONG,NUM_FI,DENOM_FI,CR_FI
Newfoundland and Labrador,First Nations off reserve,Both sexes,5397,27878,19.36,3638,28830,12.62,4674,28792,16.23,2367,28109,8.42,2278,27714,8.219672368,20981,27932,75.12,1939,14354,13.51
Newfoundland and Labrador,Inuit,Both sexes,,4187,,,4794,,,4794,,,4677,,,4361,,3640,4677,77.84,,2496,
Newfoundland and Labrador,Métis,Both sexes,,4949,,,5803,,,5803,,,5779,,,4949,,4348,5716,76.07,,3329,
Newfoundland and Labrador,NonIndigenous [reference],Both sexes,51198,365601,14,37109,382278,9.71,42965,382026,11.25,21767,368854,5.9,31047,364338,8.521482799,286585,367065,78.07,15574,192226,8.1
Newfoundland and Labrador,First Nations off reserve,Males,,12913,,1417,13609,10.41,1605,13609,11.79,,13188,,,12854,,9424,13074,72.08,827,6865,12.05
Newfoundland and Labrador,Inuit,Males,,2194,,,2212,,,2212,,,2095,,,2194,,1488,2095,71.01,,998,
Newfoundland and Labrador,Métis,Males,0,2467,,,3288,,,3288,,,3288,,,2467,,2246,3246,69.17,,2054,
Newfoundland and Labrador,NonIndigenous [reference],Males,18004,178154,10.11,12786,187700,6.81,14686,187551,7.83,9811,179047,5.48,12188,177686,6.859291109,138995,177644,78.24,6346,93968,6.75
Newfoundland and Labrador,First Nations off reserve,Females,3596,14965,24.03,2221,15221,14.59,3070,15184,20.22,1313,14921,8.8,1550,14860,10.43068641,11558,14858,77.79,1112,7489,14.84
Newfoundland and Labrador,Inuit,Females,,1993,,,2582,,,2582,,,2582,,,2167,,2153,2582,83.38,,1499,
Newfoundland and Labrador,Métis,Females,,2482,,,2515,,,2515,,,2492,,,2482,,2103,2470,85.13,,1275,
Newfoundland and Labrador,NonIndigenous [reference],Females,33194,187447,17.71,24324,194578,12.5,28279,194475,14.54,11956,189807,6.3,18859,186652,10.10382959,147590,189420,77.92,9227,98258,9.39
Prince Edward Island,First Nations off reserve,Both sexes,,934,,316,1323,23.86,,1323,,,1300,,,934,,771,1300,59.28,394,1323,29.77
Prince Edward Island,Inuit,Both sexes,,67,,,69,,0,69,,,69,,0,67,0,,69,,0,69,
Prince Edward Island,Métis,Both sexes,,875,,,694,,,694,,,694,,,875,,606,694,87.2,,694,
Prince Edward Island,NonIndigenous [reference],Both sexes,14637,111138,13.17,10198,114425,8.91,10803,114434,9.44,6788,111774,6.07,11385,110834,10.27211866,81859,111055,73.71,9858,112416,8.77
Prince Edward Island,First Nations off reserve,Males,0,418,,,680,,,680,,,657,,0,418,0,,657,60.87,,680,
Prince Edward Island,Inuit,Males,0,40,,,41,,0,41,,0,41,,0,40,0,,41,,0,41,
Prince Edward Island,Métis,Males,0,497,,,410,,,410,,,410,,,497,,,410,,,410,
Prince Edward Island,NonIndigenous [reference],Males,4721,53150,8.88,3530,55117,6.41,3316,55140,6.01,3212,53473,6.01,5522,52954,10.42791857,39604,53070,74.63,4091,54071,7.57
Prince Edward Island,First Nations off reserve,Females,,515,,,643,,,643,,,643,,,515,,371,643,57.65,,643,42.33
Prince Edward Island,Inuit,Females,,27,,0,28,,0,28,,,28,,0,27,0,,28,,0,28,
Prince Edward Island,Métis,Females,,378,,,284,,,284,,0,284,,0,378,0,,284,,,284,
Prince Edward Island,NonIndigenous [reference],Females,9917,57988,17.1,6668,59308,11.24,7487,59294,12.63,3577,58301,6.13,5864,57880,10.13130615,42255,57984,72.87,5767,58345,9.88
Nova Scotia,First Nations off reserve,Both sexes,6158,19340,31.84,3692,18715,19.73,4078,18742,21.76,4187,17845,23.46,3876,19340,20.04136505,12423,17669,70.31,4733,18006,26.29
Nova Scotia,Inuit,Both sexes,,394,,,528,,,528,,,528,,0,394,0,,528,,,528,
